Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
96,JJ Hickson,POR,24,80,33,47,29,12.7,5.2,9.3,56.2,0,0,0,2.3,3.4,67.9,3.3,7,10.4,1.1,1.8,0.6,0.6,2,28.7,40,0,-3.3,4000000,0.00171998624
97,Marcus Thornton,SAC,26,72,26,46,24,12.7,4.6,10.8,42.9,2,5.3,37.2,1.5,1.8,88.1,0.7,1.8,2.5,1.3,0.9,0.8,0.1,1.5,19.4,0,0,-4,7525000,0.003235724114
98,Steve Nash,LAL,39,50,26,24,32.5,12.7,4.7,9.5,49.7,1.1,2.6,43.8,2.1,2.3,92.2,0.5,2.3,2.8,6.7,2.5,0.6,0.1,1.4,25.7,8,0,0.7,9300500,0.003999183007
99,Andrea Bargnani,TOR,27,35,10,25,28.6,12.7,4.9,12.2,39.9,1.1,3.5,30.9,1.9,2.2,84.4,0.7,2.9,3.7,1.1,1.5,0.6,0.7,1.8,20.9,0,0,-3.2,10000000,0.0042999656
100,Nene,WAS,30,61,26,35,27.2,12.6,4.7,9.7,48,0,0,0,3.2,4.4,72.9,1.7,5,6.7,2.9,2.3,0.9,0.6,2.8,27.2,7,0,1.5,,
101,Metta World Peace,LAL,33,75,40,35,33.7,12.4,4.4,11,40.3,1.9,5.5,34.2,1.7,2.3,73.4,1.3,3.6,5,1.5,1.3,1.6,0.6,2.6,25.8,2,0,2.6,7727500,0.003322798418
102,Andrei Kirilenko,MIN,32,64,26,38,31.8,12.4,4.4,8.8,50.7,0.5,1.9,29.2,2.9,3.9,75.2,1.6,4.1,5.7,2.8,1.9,1.5,1,1.3,28.8,7,0,-0.4,9779349,0.004205086429
103,Shawn Marion,DAL,35,67,32,35,30,12.1,5.3,10.3,51.4,0.3,1.1,31.5,1.2,1.5,78.2,2.2,5.7,7.8,2.4,1.5,1.1,0.7,1.7,29.1,14,0,-2.4,8646364,0.003717906777
104,Corey Brewer,DEN,27,82,57,25,24.4,12.1,4.6,10.8,42.5,1.1,3.7,29.6,1.8,2.6,69,0.7,2.2,2.9,1.5,1.2,1.4,0.3,1.9,21.7,0,0,1.8,3243000,0.001394478844
105,Darren Collison,DAL,25,81,41,40,29.3,12,4.2,8.9,47.1,0.6,1.7,35.3,3,3.4,88,0.4,2.3,2.7,5.1,2.1,1.2,0.1,1.7,24.8,3,0,-1,1900000,0.0008169934641
